symbol,name,price,change,change_percentage,market_cap,trailing_p_e,revenue,volume,total_cash,total_debt,five_year_average_dividend_yield,sector,industry
0857.HK,PetroChina Company Limited,2.330,-0.010,-0.43%,800.341B,23.97,N/A,135.236M,N/A,N/A,2.44,Energy,Oil & Gas Integrated
0005.HK,HSBC Holdings plc,28.200,-0.400,-1.40%,575.39B,25.05,45B,42.466M,998.76B,706.2B,6.22,Financial Services,Banks—Diversified
0386.HK,China Petroleum & Chemical Corporation,3.140,+0.050,+1.62%,502.519B,78.95,N/A,82.722M,N/A,N/A,6.88,Energy,Oil & Gas Integrated
6288.HK,"Fast Retailing Co., Ltd.",47.300,+1.650,+3.61%,486.788B,69.25,N/A,900,N/A,N/A,0.88,Consumer Cyclical,Apparel Retail
1810.HK,Xiaomi Corporation,19.720,-0.120,-0.60%,474.767B,46.78,N/A,136.205M,N/A,N/A,N/A,Technology,Consumer Electronics
0388.HK,Hong Kong Exchanges and Clearing Limited,355.800,-1.800,-0.50%,451.097B,47.69,16.47B,4.186M,29.25B,2.88B,2.51,Financial Services,Financial Data & Stock Exchanges
1658.HK,"Postal Savings Bank of China Co., Ltd.",3.160,+0.060,+1.94%,405.223B,4.28,N/A,338.618M,N/A,N/A,N/A,Financial Services,Banks—Regional
9633.HK,"Nongfu Spring Co., Ltd.",35.150,-2.850,-7.50%,393.265B,70.11,N/A,28.033M,N/A,N/A,N/A,Consumer Defensive,Beverages—Non-Alcoholic
6030.HK,CITIC Securities Company Limited,16.460,-0.380,-2.26%,402.934B,12.28,N/A,22.865M,N/A,N/A,2.84,Financial Services,Capital Markets
1088.HK,China Shenhua Energy Company Limited,13.540,+0.060,+0.45%,352.036B,5.98,N/A,37.389M,N/A,N/A,5.35,Energy,Thermal Coal
2202.HK,"China Vanke Co., Ltd.",23.000,-0.700,-2.95%,348.756B,5.75,N/A,10.203M,N/A,N/A,3.84,Real Estate,Real Estate—Development
0883.HK,CNOOC Limited,7.440,-0.070,-0.93%,332.177B,7.12,N/A,63.62M,N/A,N/A,5.25,Energy,Oil & Gas E&P
3328.HK,"Bank of Communications Co., Ltd.",3.660,-0.020,-0.54%,331.979B,3.50,N/A,42.378M,N/A,N/A,5.98,Financial Services,Banks—Diversified
0914.HK,Anhui Conch Cement Company Limited,53.900,-0.100,-0.19%,327.755B,7.31,N/A,5.057M,N/A,N/A,3.00,Basic Materials,Building Materials
1211.HK,BYD Company Limited,103.100,-0.400,-0.39%,312.549B,159.17,N/A,8.086M,N/A,N/A,N/A,Consumer Cyclical,Auto Manufacturers
1876.HK,Budweiser Brewing Company APAC Limited,23.050,-0.150,-0.65%,305.251B,82.57,5.6B,6.115M,1.28B,789M,N/A,Consumer Defensive,Beverages—Brewers
2601.HK,"China Pacific Insurance (Group) Co., Ltd.",21.750,-0.050,-0.23%,305.537B,6.74,N/A,8.247M,N/A,N/A,3.44,Financial Services,Insurance—Life
1339.HK,The People's Insurance Company (Group) of China Limited,2.300,+0.020,+0.88%,296.387B,4.60,N/A,31.142M,N/A,N/A,1.34,Financial Services,Insurance—Property & Casualty
2378.HK,Prudential plc,110.500,+2.000,+1.84%,285.757B,28.20,35.13B,"2,000",9.8B,17.83B,2.93,Financial Services,Insurance—Life
6862.HK,Haidilao International Holding Ltd.,54.000,+0.600,+1.12%,286.2B,528.00,N/A,3.143M,N/A,N/A,N/A,Consumer Cyclical,Restaurants
0016.HK,Sun Hung Kai Properties Limited,98.050,-0.500,-0.51%,284.149B,12.14,82.65B,3.165M,32.52B,113.81B,3.72,Real Estate,Real Estate—Development
2359.HK,"WuXi AppTec Co., Ltd.",107.700,+1.800,+1.70%,270.753B,85.90,N/A,2.153M,N/A,N/A,N/A,Healthcare,Diagnostics & Research
0960.HK,Longfor Group Holdings Limited,43.800,-0.850,-1.90%,262.677B,12.56,N/A,8.045M,N/A,N/A,3.49,Real Estate,Real Estate—Development
0241.HK,Alibaba Health Information Technology Limited,18.400,-0.060,-0.33%,247.486B,N/A,N/A,14.568M,N/A,N/A,N/A,Healthcare,Pharmaceutical Retailers
0066.HK,MTR Corporation Limited,39.700,+0.100,+0.25%,245.273B,40.10,47.82B,2.034M,8.9B,41.8B,2.65,Industrials,Railroads
1928.HK,Sands China Ltd.,29.950,-0.350,-1.16%,242.268B,125.06,5.19B,12.183M,1.66B,7.07B,5.78,Consumer Cyclical,Resorts & Casinos
1109.HK,China Resources Land Limited,33.900,-0.900,-2.59%,241.739B,7.24,N/A,9.908M,N/A,N/A,3.11,Real Estate,Real Estate—Development
2269.HK,WuXi Biologics (Cayman) Inc.,177.300,-4.600,-2.53%,240.649B,164.24,N/A,4.274M,N/A,N/A,N/A,Healthcare,Biotechnology
0998.HK,China CITIC Bank Corporation Limited,2.980,0.000,0.00%,238.989B,3.18,N/A,43.93M,N/A,N/A,N/A,Financial Services,Banks—Regional
1988.HK,"China Minsheng Banking Corp., Ltd.",4.170,-0.060,-1.42%,248.676B,3.31,N/A,43.892M,N/A,N/A,4.40,Financial Services,Banks—Regional
0788.HK,China Tower Corporation Limited,1.310,-0.030,-2.24%,230.57B,35.80,N/A,560.046M,N/A,N/A,N/A,Communication Services,Telecom Services
0027.HK,Galaxy Entertainment Group Limited,52.200,-0.250,-0.48%,226.324B,64.93,31.91B,9.673M,19.19B,6.6B,N/A,Consumer Cyclical,Resorts & Casinos
3692.HK,Hansoh Pharmaceutical Group Company Limited,36.550,-0.550,-1.48%,216.339B,74.80,N/A,2.756M,N/A,N/A,N/A,Healthcare,Drug Manufacturers—Specialty & Generic
2388.HK,BOC Hong Kong (Holdings) Limited,20.450,0.000,0.00%,216.214B,7.17,55.42B,11.837M,301.85B,54.81B,4.46,Financial Services,Banks—Regional
0011.HK,Hang Seng Bank Limited,112.200,+1.100,+0.99%,214.508B,10.76,33.28B,1.661M,177.67B,40.39B,4.14,Financial Services,Banks—Regional
0688.HK,China Overseas Land & Investment Limited,19.280,-0.400,-2.03%,211.224B,4.56,N/A,19.347M,N/A,N/A,3.11,Real Estate,Real Estate—Development
2020.HK,ANTA Sports Products Limited,76.950,-1.450,-1.85%,207.983B,39.06,N/A,3.496M,N/A,N/A,2.15,Consumer Cyclical,Leisure
0945.HK,Manulife Financial Corporation,106.200,+0.400,+0.38%,205.144B,9.36,N/A,"31,474",N/A,N/A,3.85,Financial Services,Insurance—Life
6969.HK,Smoore International Holdings Limited,35.150,-1.150,-3.17%,204.913B,133.63,N/A,11.923M,N/A,N/A,N/A,Consumer Defensive,Tobacco
2007.HK,Country Garden Holdings Company Limited,9.200,-0.370,-3.87%,202.726B,4.73,N/A,49.111M,N/A,N/A,3.96,Real Estate,Real Estate—Development
0003.HK,The Hong Kong and China Gas Company Limited,11.320,+0.180,+1.62%,201.171B,35.01,38.51B,19.303M,8.65B,42.33B,2.18,Utilities,Utilities—Regulated Gas
6160.HK,"BeiGene, Ltd.",166.700,+6.100,+3.80%,195.909B,N/A,224.73M,"428,700",3.15B,361.77M,N/A,Healthcare,Biotechnology
6818.HK,China Everbright Bank Company Limited,2.500,0.000,0.00%,195.462B,3.86,N/A,8.736M,N/A,N/A,5.58,Financial Services,Banks—Regional
2313.HK,Shenzhou International Group Holdings Limited,127.600,+1.000,+0.79%,191.811B,33.12,N/A,1.715M,N/A,N/A,1.71,Consumer Cyclical,Textile Manufacturing
0728.HK,China Telecom Corporation Limited,2.360,+0.030,+1.29%,191B,8.31,N/A,51.175M,N/A,N/A,3.11,Communication Services,Telecom Services
6886.HK,"Huatai Securities Co., Ltd.",12.380,-0.220,-1.75%,195.772B,8.79,N/A,7.274M,N/A,N/A,N/A,Financial Services,Capital Markets
0002.HK,CLP Holdings Limited,73.800,+1.550,+2.15%,186.452B,16.11,80.55B,2.688M,10.15B,60.02B,3.62,Utilities,Utilities—Regulated Electric
6099.HK,"China Merchants Securities Co., Ltd.",9.170,-0.110,-1.19%,191.332B,8.23,N/A,3.614M,N/A,N/A,N/A,Financial Services,Capital Markets
0669.HK,Techtronic Industries Company Limited,99.400,+1.400,+1.43%,182.081B,35.55,8.14B,2.248M,1.91B,2.22B,1.42,Industrials,Tools & Accessories
3333.HK,China Evergrande Group,13.780,-1.440,-9.46%,179.899B,9.30,N/A,194.697M,N/A,N/A,N/A,Real Estate,Real Estate—Development
0001.HK,CK Hutchison Holdings Limited,46.550,+0.200,+0.43%,179.508B,5.20,276.05B,3.907M,140.15B,443.28B,3.60,Industrials,Conglomerates
6837.HK,"Haitong Securities Co., Ltd.",6.420,+0.030,+0.47%,179.763B,6.81,N/A,22.058M,N/A,N/A,N/A,Financial Services,Capital Markets
1336.HK,New China Life Insurance Company Ltd.,28.850,-0.150,-0.52%,178.184B,6.48,N/A,4.928M,N/A,N/A,1.71,Financial Services,Insurance—Life
2611.HK,"Guotai Junan Securities Co., Ltd.",10.860,+0.120,+1.12%,173.124B,10.07,N/A,3.887M,N/A,N/A,N/A,Financial Services,Capital Markets
9987.HK,"Yum China Holdings, Inc.",396.000,+7.200,+1.85%,166.927B,39.00,8B,"934,440",1.71B,2.1B,N/A,Consumer Cyclical,Restaurants
1766.HK,CRRC Corporation Limited,3.050,0.000,0.00%,165.38B,7.25,N/A,11.858M,N/A,N/A,N/A,Industrials,Railroads
0267.HK,CITIC Limited,5.680,-0.130,-2.24%,165.233B,3.48,712B,20.622M,1.67T,1.33T,3.41,Industrials,Conglomerates
2899.HK,Zijin Mining Group Company Limited,4.950,+0.060,+1.23%,166.772B,22.34,N/A,45.335M,N/A,N/A,3.33,Basic Materials,Gold
1177.HK,Sino Biopharmaceutical Limited,8.580,-0.200,-2.28%,161.927B,58.42,N/A,42.702M,N/A,N/A,0.72,Healthcare,Biotechnology
0762.HK,China Unicom (Hong Kong) Limited,5.290,+0.030,+0.57%,161.863B,11.64,N/A,25.55M,N/A,N/A,N/A,Communication Services,Telecom Services
0763.HK,ZTE Corporation,17.680,-0.080,-0.45%,158.555B,12.25,N/A,6.998M,N/A,N/A,N/A,Technology,Communication Equipment
6186.HK,China Feihe Limited,17.700,-0.200,-1.12%,158.12B,28.19,N/A,14.65M,N/A,N/A,N/A,Consumer Defensive,Packaged Foods
0291.HK,China Resources Beer (Holdings) Company Limited,46.800,-0.500,-1.06%,151.819B,89.53,N/A,4.091M,N/A,N/A,N/A,Consumer Defensive,Beverages—Brewers
0175.HK,Geely Automobile Holdings Limited,15.180,-0.120,-0.78%,148.963B,19.14,N/A,48.835M,N/A,N/A,1.30,Consumer Cyclical,Auto Manufacturers
0708.HK,China Evergrande New Energy Vehicle Group Limited,16.820,-2.460,-12.76%,148.295B,N/A,N/A,46.451M,N/A,N/A,N/A,Healthcare,Medical Care Facilities
1816.HK,"CGN Power Co., Ltd.",1.590,0.000,0.00%,146.035B,7.23,N/A,10.838M,N/A,N/A,2.93,Utilities,Utilities—Independent Power Producers
2333.HK,Great Wall Motor Company Limited,9.080,-0.050,-0.55%,147.669B,18.16,N/A,30.457M,N/A,N/A,5.39,Consumer Cyclical,Auto Manufacturers
0981.HK,Semiconductor Manufacturing International Corporation,18.580,-0.760,-3.93%,143.024B,27.73,3.5B,72.072M,6.4B,4.22B,N/A,Technology,Semiconductors
2319.HK,China Mengniu Dairy Company Limited,35.900,+0.350,+0.98%,141.267B,30.20,N/A,10.931M,N/A,N/A,0.82,Consumer Defensive,Packaged Foods
0390.HK,China Railway Group Limited,3.700,-0.040,-1.07%,141.219B,3.34,N/A,12.721M,N/A,N/A,N/A,Industrials,Engineering & Construction
6806.HK,"Shenwan Hongyuan Group Co., Ltd.",2.070,+0.030,+1.47%,143.215B,7.01,N/A,3.487M,N/A,N/A,N/A,Financial Services,Capital Markets
1113.HK,CK Asset Holdings Limited,38.200,-0.200,-0.52%,141.088B,6.93,84.79B,7.416M,57.88B,83.24B,2.74,Real Estate,Real Estate—Development
0012.HK,Henderson Land Development Company Limited,28.750,+0.150,+0.52%,139.179B,11.27,27B,2.991M,11.08B,103.46B,3.53,Real Estate,Real Estate Services
6098.HK,Country Garden Services Holdings Company Limited,49.350,-0.150,-0.30%,136.175B,54.63,N/A,3.287M,N/A,N/A,N/A,Real Estate,Real Estate Services
2196.HK,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",33.000,+0.050,+0.15%,135.964B,21.04,N/A,6.972M,N/A,N/A,1.47,Healthcare,Drug Manufacturers—Specialty & Generic
1918.HK,Sunac China Holdings Limited,28.950,-1.600,-5.24%,134.882B,4.27,N/A,46.611M,N/A,N/A,2.80,Real Estate,Real Estate—Development
2382.HK,Sunny Optical Technology (Group) Company Limited,118.500,-2.100,-1.74%,129.977B,26.52,N/A,4.434M,N/A,N/A,0.67,Technology,Electronic Components
0823.HK,Link Real Estate Investment Trust,62.950,+0.150,+0.24%,129.83B,N/A,10.72B,5.452M,7.9B,38.46B,3.68,Real Estate,REIT—Retail
2338.HK,"Weichai Power Co., Ltd.",14.940,-0.320,-2.10%,130.941B,12.49,N/A,6.271M,N/A,N/A,3.34,Industrials,Specialty Industrial Machinery
1776.HK,"GF Securities Co., Ltd.",9.600,+0.130,+1.37%,123.624B,7.04,N/A,5.606M,N/A,N/A,N/A,Financial Services,Capital Markets
1186.HK,China Railway Construction Corporation Limited,5.300,-0.050,-0.93%,120.546B,3.56,N/A,7.665M,N/A,N/A,2.24,Industrials,Engineering & Construction
1579.HK,Yihai International Holding Ltd.,114.000,-0.200,-0.18%,119.347B,115.46,N/A,"739,200",N/A,N/A,N/A,Consumer Defensive,Packaged Foods
2328.HK,PICC Property and Casualty Company Limited,5.360,+0.050,+0.94%,119.221B,5.08,N/A,33.708M,N/A,N/A,3.25,Financial Services,Insurance—Property & Casualty
1787.HK,"Shandong Gold Mining Co., Ltd.",18.880,+0.160,+0.85%,118.103B,34.89,N/A,9.789M,N/A,N/A,N/A,Basic Materials,Gold
2888.HK,Standard Chartered PLC,34.150,-0.550,-1.59%,107.608B,9.92,13.47B,"974,942",201.13B,173.75B,N/A,Financial Services,Banks—Diversified
1800.HK,China Communications Construction Company Limited,4.100,-0.020,-0.49%,118.137B,3.84,N/A,30.856M,N/A,N/A,3.33,Industrials,Engineering & Construction
1972.HK,Swire Properties Limited,19.860,+0.140,+0.71%,116.181B,21.13,14.61B,2.886M,11.24B,28.28B,3.11,Real Estate,Real Estate Services
1833.HK,Ping An Healthcare and Technology Company Limited,105.900,-1.200,-1.12%,113.026B,N/A,N/A,6.994M,N/A,N/A,N/A,Healthcare,Health Information Services
0384.HK,China Gas Holdings Limited,21.650,+0.350,+1.64%,112.876B,12.30,59.54B,4.3M,7.12B,39.95B,1.45,Utilities,Utilities—Regulated Gas
1093.HK,CSPC Pharmaceutical Group Limited,14.860,-0.440,-2.88%,111.206B,23.54,N/A,21.743M,N/A,N/A,1.12,Healthcare,Drug Manufacturers—General
0813.HK,Shimao Group Holdings Limited,30.550,-1.050,-3.32%,107.968B,8.20,N/A,5.125M,N/A,N/A,5.57,Real Estate,Real Estate—Development
0881.HK,Zhongsheng Group Holdings Limited,47.150,-0.850,-1.77%,107.111B,20.65,N/A,2.793M,N/A,N/A,1.55,Consumer Cyclical,Auto & Truck Dealerships
6881.HK,"China Galaxy Securities Co., Ltd.",4.120,-0.040,-0.96%,109.483B,5.97,N/A,13.564M,N/A,N/A,3.39,Financial Services,Capital Markets
0753.HK,Air China Limited,4.940,-0.120,-2.37%,103.482B,N/A,N/A,22.306M,N/A,N/A,1.69,Industrials,Airlines
1929.HK,Chow Tai Fook Jewellery Group Limited,10.080,0.000,0.00%,100.8B,34.76,56.75B,4.03M,7.5B,24.51B,3.54,Consumer Cyclical,Luxury Goods
6178.HK,Everbright Securities Company Limited,6.970,-0.150,-2.11%,104.305B,25.46,N/A,4.191M,N/A,N/A,N/A,Financial Services,Capital Markets
3347.HK,"Hangzhou Tigermed Consulting Co.,Ltd",109.700,0.000,0.00%,99.31B,48.43,N/A,"660,229",N/A,N/A,N/A,Healthcare,Diagnostics & Research
0168.HK,Tsingtao Brewery Company Limited,62.000,-0.150,-0.24%,99.849B,35.50,N/A,2.146M,N/A,N/A,1.34,Consumer Defensive,Beverages—Brewers
1038.HK,CK Infrastructure Holdings Limited,36.500,+0.250,+0.69%,96.75B,11.19,7.24B,1.789M,15.74B,50.38B,3.84,Utilities,Utilities—Regulated Electric
2016.HK,"China Zheshang Bank Co., Ltd",3.800,0.000,0.00%,96.889B,6.08,N/A,4.136M,N/A,N/A,N/A,Financial Services,Banks—Regional
2688.HK,ENN Energy Holdings Limited,84.650,+0.750,+0.89%,95.276B,16.74,N/A,1.551M,N/A,N/A,1.69,Utilities,Utilities—Regulated Gas
2238.HK,"Guangzhou Automobile Group Co., Ltd.",6.210,-0.320,-4.90%,94.852B,14.01,N/A,35.896M,N/A,N/A,3.63,Consumer Cyclical,Auto Manufacturers
0017.HK,New World Development Company Limited,37.200,+0.200,+0.54%,94.827B,12.08,59.96B,2.149M,66.91B,193.35B,4.73,Real Estate,Real Estate—Diversified
1997.HK,Wharf Real Estate Investment Company Limited,30.650,-0.250,-0.81%,93.053B,24.22,14.32B,3.359M,5.54B,58.13B,N/A,Real Estate,Real Estate Services
0288.HK,WH Group Limited,6.310,-0.060,-0.94%,92.888B,9.94,25.46B,21.982M,1.85B,3.57B,N/A,Consumer Defensive,Packaged Foods
0006.HK,Power Assets Holdings Limited,41.550,-0.050,-0.12%,88.678B,15.86,1.28B,2.225M,3.36B,3.32B,4.56,Utilities,Utilities—Independent Power Producers
0101.HK,Hang Lung Properties Limited,19.600,-0.100,-0.51%,88.161B,653.33,8.76B,4.073M,3.19B,33.49B,4.33,Real Estate,Real Estate Services
1055.HK,China Southern Airlines Company Limited,3.930,-0.110,-2.72%,89.281B,14.95,N/A,23.507M,N/A,N/A,N/A,Industrials,Airlines
2331.HK,Li Ning Company Limited,34.850,-0.050,-0.14%,86.691B,55.41,N/A,7.025M,N/A,N/A,N/A,Consumer Cyclical,Leisure
3606.HK,"Fuyao Glass Industry Group Co., Ltd.",25.850,-0.500,-1.90%,86.725B,24.20,N/A,1.417M,N/A,N/A,N/A,Consumer Cyclical,Auto Parts
0968.HK,Xinyi Solar Holdings Limited,10.220,-0.460,-4.31%,86.336B,28.72,9.72B,36.203M,2.93B,8.34B,3.72,Technology,Solar
3993.HK,"China Molybdenum Co., Ltd.",2.780,-0.040,-1.42%,86.415B,24.46,N/A,25.334M,N/A,N/A,3.03,Basic Materials,Other Industrial Metals & Mining
6808.HK,Sun Art Retail Group Limited,8.940,-0.040,-0.45%,85.285B,23.84,N/A,8.377M,N/A,N/A,2.38,Consumer Cyclical,Department Stores
3759.HK,"Pharmaron Beijing Co., Ltd.",90.600,-1.300,-1.41%,87.183B,67.41,N/A,"976,158",N/A,N/A,N/A,Healthcare,Biotechnology
9668.HK,"China Bohai Bank Co., Ltd.",4.770,0.000,0.00%,84.725B,8.75,N/A,"617,500",N/A,N/A,N/A,Financial Services,Banks—Regional
3323.HK,China National Building Material Company Limited,9.930,-0.150,-1.49%,83.757B,6.95,N/A,18M,N/A,N/A,2.26,Basic Materials,Building Materials
0270.HK,Guangdong Investment Limited,12.760,+0.060,+0.47%,83.423B,17.70,19.01B,10.854M,14.3B,10.22B,3.42,Utilities,Utilities—Regulated Water
3958.HK,Orient Securities Company Limited,5.290,+0.270,+5.38%,85.982B,11.64,N/A,8.503M,N/A,N/A,N/A,Financial Services,Capital Markets
1801.HK,"Innovent Biologics, Inc.",57.850,-0.500,-0.86%,80.974B,N/A,N/A,5.644M,N/A,N/A,N/A,Healthcare,Biotechnology
0285.HK,BYD Electronic (International) Company Limited,35.450,-1.150,-3.14%,79.876B,20.13,N/A,13.512M,N/A,N/A,N/A,Technology,Communication Equipment
1913.HK,Prada S.p.A.,31.200,+0.900,+2.97%,79.835B,34.16,N/A,"912,800",N/A,N/A,N/A,Consumer Cyclical,Luxury Goods
1193.HK,China Resources Gas Group Limited,34.500,0.000,0.00%,79.833B,16.67,50.23B,1.201M,17.69B,12.09B,1.68,Utilities,Utilities—Regulated Gas
1169.HK,"Haier Electronics Group Co., Ltd.",26.500,-0.600,-2.21%,78.396B,17.80,N/A,4.929M,N/A,N/A,1.16,Technology,Consumer Electronics
0670.HK,China Eastern Airlines Corporation Limited,3.160,-0.050,-1.56%,78.482B,12.18,N/A,14.388M,N/A,N/A,N/A,Industrials,Airlines
0322.HK,Tingyi (Cayman Islands) Holding Corp.,13.760,-0.340,-2.41%,77.386B,16.20,N/A,6.334M,N/A,N/A,1.89,Consumer Defensive,Packaged Foods
2727.HK,Shanghai Electric Group Company Limited,2.150,-0.020,-0.92%,77.549B,9.01,N/A,4.17M,N/A,N/A,N/A,Industrials,Specialty Industrial Machinery
6823.HK,HKT Trust and HKT Limited,10.100,0.000,0.00%,76.515B,15.44,32.6B,10.21M,2.35B,43.98B,5.74,Communication Services,Telecom Services
1877.HK,"Shanghai Junshi Biosciences Co., Ltd.",48.050,-2.300,-4.57%,78.815B,N/A,N/A,"599,076",N/A,N/A,N/A,Healthcare,Biotechnology
6066.HK,"CSC Financial Co., Ltd.",9.900,-0.280,-2.75%,75.699B,9.17,N/A,14.629M,N/A,N/A,N/A,Financial Services,Capital Markets
0656.HK,Fosun International Limited,8.700,0.000,0.00%,73.88B,7.09,N/A,13.81M,N/A,N/A,2.49,Industrials,Conglomerates
3908.HK,China International Capital Corporation Limited,16.700,-0.600,-3.47%,72.957B,11.85,N/A,9.799M,N/A,N/A,N/A,Financial Services,Capital Markets
1919.HK,"COSCO SHIPPING Holdings Co., Ltd.",3.560,0.000,0.00%,69.9B,5.70,N/A,8.31M,N/A,N/A,N/A,Industrials,Marine Shipping
1313.HK,China Resources Cement Holdings Limited,10.400,-0.480,-4.41%,72.623B,8.03,38.43B,14.558M,12.66B,7.15B,4.37,Basic Materials,Building Materials
1772.HK,"Ganfeng Lithium Co., Ltd.",36.700,+0.300,+0.82%,72.074B,189.98,N/A,2.292M,N/A,N/A,N/A,Basic Materials,Chemicals
1821.HK,ESR Cayman Limited,23.500,-0.250,-1.05%,71.879B,30.60,518.06M,3.378M,946.65M,2.87B,N/A,Real Estate,Real Estate Services
2638.HK,HK Electric Investments and HK Electric Investments Limited,7.960,+0.060,+0.76%,70.336B,27.56,10.54B,3.396M,802M,45.42B,5.33,Utilities,Utilities—Regulated Electric
1157.HK,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",7.270,+0.010,+0.14%,70.327B,8.10,N/A,5.303M,N/A,N/A,N/A,Industrials,Farm & Heavy Construction Machinery
1066.HK,Shandong Weigao Group Medical Polymer Company Limited,15.240,-0.460,-2.93%,68.92B,31.93,N/A,15.026M,N/A,N/A,1.60,Healthcare,Medical Instruments & Supplies
0268.HK,Kingdee International Software Group Company Limited,19.380,+0.140,+0.73%,67.162B,1.62k,N/A,16.619M,N/A,N/A,N/A,Technology,Software—Application
3380.HK,Logan Group Company Limited,12.000,-0.360,-2.91%,66.234B,4.84,N/A,6.327M,N/A,N/A,4.47,Real Estate,Real Estate—Development
3969.HK,China Railway Signal & Communication Corporation Limited,2.680,-0.100,-3.60%,66.897B,8.13,N/A,11.443M,N/A,N/A,N/A,Industrials,Railroads
1044.HK,Hengan International Group Company Limited,55.200,-0.750,-1.34%,65.671B,13.47,N/A,3.249M,N/A,N/A,3.66,Consumer Defensive,Household & Personal Products
0586.HK,China Conch Venture Holdings Limited,36.150,-0.400,-1.09%,65.242B,8.16,N/A,2.62M,N/A,N/A,1.94,Industrials,Pollution & Treatment Controls
3799.HK,Dali Foods Group Company Limited,4.760,+0.020,+0.42%,65.184B,14.96,N/A,2.131M,N/A,N/A,N/A,Consumer Defensive,Packaged Foods
0151.HK,Want Want China Holdings Limited,5.300,+0.020,+0.38%,65.092B,15.87,N/A,15.553M,N/A,N/A,2.53,Consumer Defensive,Packaged Foods
0083.HK,Sino Land Company Limited,9.070,+0.010,+0.11%,63.9B,37.79,5.89B,5.701M,43.55B,6.19B,4.28,Real Estate,Real Estate—Development
1128.HK,"Wynn Macau, Limited",12.260,+0.080,+0.66%,63.718B,13.57,21.1B,11M,18.86B,46.53B,N/A,Consumer Cyclical,Resorts & Casinos
6185.HK,CanSino Biologics Inc.,168.000,-8.000,-4.55%,67.809B,N/A,N/A,1.269M,N/A,N/A,N/A,Healthcare,Drug Manufacturers—Specialty & Generic
6110.HK,Topsports International Holdings Limited,10.140,-0.020,-0.20%,62.88B,21.83,N/A,2.992M,N/A,N/A,N/A,Industrials,Rental & Leasing Services
2066.HK,"Shengjing Bank Co., Ltd.",6.850,-0.150,-2.14%,60.257B,8.86,N/A,"175,000",N/A,N/A,N/A,Financial Services,Banks—Regional
0992.HK,Lenovo Group Limited,5.000,-0.200,-3.85%,60.074B,11.88,51.55B,45.908M,3.56B,5.25B,5.28,Technology,Computer Hardware
3618.HK,"Chongqing Rural Commercial Bank Co., Ltd.",2.910,+0.020,+0.69%,57.763B,3.09,N/A,3.654M,N/A,N/A,5.48,Financial Services,Banks—Regional
0772.HK,China Literature Limited,56.500,-1.400,-2.42%,57.392B,39.28,N/A,7.339M,N/A,N/A,N/A,Communication Services,Internet Content & Information
0868.HK,Xinyi Glass Holdings Limited,14.220,+0.120,+0.85%,57.201B,15.32,15.94B,9.138M,5.17B,11.25B,5.01,Industrials,Building Products & Equipment
2607.HK,"Shanghai Pharmaceuticals Holding Co., Ltd",12.860,-0.180,-1.38%,56.813B,7.84,N/A,4.06M,N/A,N/A,2.47,Healthcare,Medical Distribution
